thread_id,title,question,category
80.0,Need Assistance for my data selector for my Nutrition Tracker.,"Hello, I'm having issues with the date selector in my project. Currently, I created a date selector that goes to the previous and the next date. It goes from date to date like I wanted, but it's not exactly where I want to be. The issue I am having is that the food log does not align with the date. For example, the log should work how your notebook paper works in a notebook, One page is filled with writing, and another page, has different writing. That's how I want my log to look. It's going date form the date, but the tracker itself is not changing and I have no idea how to fix that. This is an example of how I want the trackers to work:https://imgur.com/a/63iFCsSIn this example, it shows two different trackers for two different days. How can I do this for my code? If anyone can help me, that would be great. Here is my GitHub link for this project. https://github.com/Aaliyah1225/Thesis_Statement",Bug Help
298.0,Learn Form Validation - Step 14,"const calorieCounter = getElementById(""calorie-counter"");",Code Review
668.0,Need help with a project from github,Good afternoon programmers/Devs I just recently finished a project now the problem is when I uploaded the project I tested it but it didn't respond I don't know what I did wrong I have even checked the type of events.Link to the project https://militantprogrammer.github.io/Malculator/,Bug Help
67.0,Help with Tetris Neural Network,my Tetris AI to compete against user.how does that work?,Learning Question
664.0,react component purity,The react documentation says that react component functions should be pure and that the same input should always generate the same output. Is this considered the case when a component renders based on data in the context and also contains elements that manipulate said data?,Learning Question
535.0,how to prevent user from navigating to a page that was deleted,"i have implemented pagination for my app each page contains three books with the option to delete the book from the page when there is only one book the book should be deleted and the user should be redirect to the previous page assume that we are one page number three the user deletes the last book in page 3 he should be redirected to page 2 that works however if i navgiate back when i on page 2 i get page 3 which is empty i wanted to prevent this behaviour i have tried setting some headers cache-control , Expires , res.set({ 'Cache-Control': ""no-store, no-cache, must-revalidate, proxy-revalidate,max-age=0"", ""Expires"": ""0"" }) that didn't work i set the refer header to origin which should which is the root page (home page) that didn't work either when i inpsected the network tab i found that the refer header is always the url of the page deleted books/page/3",Bug Help
40.0,Number Guesser,"Pythonimport randomtopRangeNumber=int(input(""Type a number: ""))random_number = random.randint(0,topRangeNumber)userGuess = int(input(""Guess the number: ""))while userGuess != random_number:  if userGuess ==random_number:    print(""Congratulations you got it right"")  else:    print(""Incorrect try again"")    if (userGuess < random_number):      print(""Type a higer number"")    elif (userGuess > random_number):      print(""Type a Lower number"")      break So I have written a Python program to guess number but ht eproblem is when I rn this the program and make a wrong guess the python program starts repeating a either of the follow <,> conditon but what I want is to repeat the code again i.e. able to make another guess (modifi)",Bug Help
478.0,Encountering an issue with Next.js 14 in conjunction with auth.js utilizing the MongoDB Adapter.,"I'm encountering an issue while working on authentication for my app. Specifically, I'm attempting to enable users to sign up via Google. I've successfully implemented this functionality, but I'm struggling to find resources on how to send the user data to my MongoDB database. I've checked the auth.js documentation, but it doesn't provide guidance on this aspect.",Bug Help
229.0,the mystery of the disappearing text (Or is my scrollbar broken?),"I'm working on a calculator project [Live link: https://hbar1st.github.io/TOP-calculator/ ] [repo: https://github.com/hbar1st/TOP-calculator.git]I was trying to see what would happen if i typed a very long number in and tried to do arithmetic with it that my #expression div (which is the topmost 'display' area) would contain the text that I'm typing but the display would not show it. I have overflow-x set to true on that div and sometimes it works fine but then again, sometimes it doesn't. I don't know if this is a css issue or a js issue. (I'm not doing any css stuff in the js code though, just the manipulation of strings and arithmetic ops).Here's a screenshot showing the issue as it appears vs how the element looks like in dev tools.Would appreciate any suggestions on how to debug this. (modifi)",Bug Help
913.0,code snippets for css,"hi I am trying to create website that have code snippets of html css and JavaScript I have wrote html code snippets but i don't know how to do same for css any suggestions. code example: ORDERED: &LT;Ol&GT;&LT;li&GT;Coffee&LT;/li&GT;&LT;li&GT;TEA&LT;/li&GT;&LT;/Ol&GT;</code></pre><pre class=""language-html""><code></code></pre>i am using prism.js to embed code",Learning Question
304.0,Best way to move all files from,"I want to reorganise my routes, but when I've manually moved folders like this, the auto import feature in VSCode messes up all my files and I have to revert. Is there a better way to do this?",Learning Question
510.0,I cannot understand or determine the error of line 6,I see I got error after click 'click here!' button but I see I got error after 'click here!' button but I cannot perceive which from or what kind source ? What can I do for solve anything problem or problem that I dunno. programming-help,Bug Help
490.0,Doubts,"import discordimport osintents = discord.Intents().all()client = discord.Client(command_prefix='.',intents=intents)@client.eventasync def on_ready(): print('We have logged in as {0.user}'.format(client))@client.eventasync def on_message(message): if message.author == client.user: return if message.content.startswith('$hello'): await message.channel.send('Hello')client.run(os.getenv('TOKEN'))",General Discussion
641.0,JS Course step 120,after a period there should be a space,General Discussion
14.0,Inserting a background-image from my computer on a freeCodeCamp certification project,"In order to use a picture on a website, the image needs to be hosted online somewhere",General Discussion
355.0,api key for sms,Plz does anyone knows how to get good api fir sending sms Or how to generate them @--==-=-==-== @plamoni,Learning Question
943.0,conflict with peer dependency,I have a project that is running on node 14 now as per requirement I have to upgrade the project to node latest version now I have a problem literally i can't even download node module folder and got error in some dependency having conflict peer dependency any way to solve this without using --force and legacy dependency flag// Can't share code sry,Bug Help
324.0,"hi guys, I need some help with deciding between front or back end development.",There is no fast path to learning programming or getting a job as a developer,Career Advice
235.0,how to fix images adjusting after loading,i am running into a problem where the images adjust their size after the page loads i don't know what is causing this to happen any help ?,Bug Help
367.0,L:earn typography by building a nutrition label step 50,"Hello, all!I am really stuck here:Question: Now you will have to add separate dividers below your .no-divider elements.Your first .no-divider element has a .divider after it. Create another .divider after your second .no-divider element.I have this code:<body> <div class=""label""> <header> <h1 class=""bold"">Nutrition Facts</h1> <div class=""divider""></div> <p>8 servings per container</p> <p class=""bold"">Serving size <span>2/3 cup (55g)</span></p> </header> <div class=""divider large""></div> <div class=""calories-info""> <div class=""left-container""> <h2 class=""bold small-text"">Amount per serving</h2> <p>Calories</p> </div> <span>230</span> </div> <div class=""divider medium""></div> <div class=""daily-value small-text""> <p class=""bold right no-divider"">% Daily Value *</p> <div class=""divider""></div> <p><span><span class=""bold"">Total Fat</span> 8g</span> <span class=""bold"">10%</span></p><p class=""indent no-divider"">Saturated Fat 1g <span class=""bold"">5%</span></p></div><div class=""divider""></div> I added the last line of code.I get the error message:Sorry, your code does not pass. Don't give up.You should create a new div at the end of your .daily-value element.I found the solution on Youtube, copied the code exactly as the youtube guy did...but no success..Please help, i am stuck beyond repair, so it seems..Eric",Bug Help
673.0,Issue Sending Media on WhatsApp with whatsapp-web.js,"Hi,I'm facing an issue while trying to send media (images, PDFs, etc.) using the whatsapp-web.js library in my Node.js application. I'm encountering the error: ""Error sending media: Error: Evaluation failed: Error: wid error: invalid wid."" I've checked the recipient ID, ensured authentication, and reviewed the MessageMedia object construction. However, the problem persistsCode Snippet:app.post('/api/send-media', async (req, res) => { const { recipient, mimetype, base64Data, caption } = req.body; try { const media = new MessageMedia(mimetype, base64Data, 'media'); await client.sendMessage(${recipient}@c.us, media); console.log('Media sent successfully'); res.status(200).send('Media sent successfully'); } catch (error) { console.error('Error sending media:', error); res.status(500).send('Error sending media'); } });Error: ""Error: Evaluation failed: Error: wid error: invalid wid.""Additional Info:The recipient ID is correctAuthentication is successfulThe MessageMedia obj seems to be constructed properlyBtw I'm trying to send file using my frontend this is how that code look like: const sendWhatsAppMessage = async () => { try {const formData = new FormData(); formData.append('recipient', recipient); formData.append('message', message); formData.append('file', file);  await axios.post('/api/send-message', formData, { headers: { 'Content-Type': 'multipart/form-data', }, });console.log('Message sent successfully'); } catch (error) { console.error('Error sending message:', error); } }; const handleFileChange = (e) => {setFile(e.target.files[0]); }; const handleSubmit = (e) => { e.preventDefault();sendWhatsAppMessage(); }; return ( and I use three input fields to enter values of recipient message and file )I appreciate any insights on resolving this issue.Thanks!Sry if I sound stupid I'm new to coding",Bug Help
