category_id,thread_id,title,question,author,posted_at
1,1,Accessing data from JSON file in React component?,"I have been attempting to display data from a certain index of a JSON file, but I receive the following error message (attached below). I am able to console.log my JSON data, and it displays in the console properly, but actually attempting to retrieve the data to use in the component continues to give me the following error. Does anyone have any clue why it's not working?Component I'm attempting to display the JSON data through:import React from ""react"";import quotes from ""../../quotes.json"";function Quote() {   {        console.log(quotes);    return (        <div>            <img src={quotes.image} alt={quotes[0].alt} />            <h2>{quotes.name}</h2>            <p>{quotes.description}</p>        </div>    );}}export default Quote;JSON file:{    ""quotes"": [        {""image"": ""'../src/images/store-photo-1.jpg'"",        ""name"": ""Owner 1"",        ""description"": ""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."",        ""alt"": ""image 1""},        {""image"": ""'../src/images/store-photo-2.jpg'"",        ""title"": ""Owner 2"",        ""description"": ""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."",        ""alt"": ""image 2""}    ]}",legorat,2025-05-26 20:34:06+00:00
1,2,HELP in my MERN app,Migration In Progress: EJS  ReactWe're currently transitioning the frontend from EJS templates to a modern React.js application. Done so far:Backend API routes are workingMongoDB models and image upload system is functionalLogin page built in React (under testing) We need help with:Migrating all EJS pages to React componentsConnecting React with Express APIsHandling routing (React Router)Managing user sessions/token-based authhttps://github.com/Mohammed-Altaf808/bookapp,khan,2025-05-27 11:51:54+00:00
1,4,How to find right type of element type,"Following is my code, it was fine when I looked for nextElement but now I am having error nextElementSibling but it is not in the list. why?const accordionHeader = document.querySelectorAll(""section"") as NodeList;const para = document.querySelectorAll(""section p"") as NodeList;accordionHeader.forEach((header)=>{    header.addEventListener(""click"", ()=>{      const paragraph = header.nextElementSibling as Element;      console.log(paragraph);      paragraph.nextElementSibling?.classList.toggle('hidden');    })})window.addEventListener(""DOMContentLoaded"", ()=>{  para.forEach((paragraph)=>{    const p = paragraph as HTMLParagraphElement    p.classList.add(""hidden"");  })})My html snipper      <header class=""head""></header>      <main>        <header>          <h1>FAQs</h1>        </header>        <section>          <h2>What is Frontend Mentor, and how will it help me?</h2>          <p>            Frontend Mentor offers realistic coding challenges to help            developers improve their frontend coding skills with projects in            HTML, CSS, and JavaScript. It's suitable for all levels and ideal            for portfolio building.          </p>        </section>",localhost,2025-05-26 16:17:15+00:00
1,5,Changing careers,"Hello! My name is Simon I'm a web developer but I've been working as an email developer for 3 years (turning 4 this years)I had to accept the email developer full time role job because we were in 2021 and I'm from venezuela so it's either take that job or die. At the beginning of my job I saw people come and go as programmers because they either get fired (they couldn't keep up with the client) or they moved to a different kind of IT field.This week my company told us we should save money due to a possible chain effect from our US clients and to save money, that made me think a lot about the possibility to move from email developing to something more juicy and that pays better.Before I became an email developer in 2021 I was doing web developing as freelancer, among any other web coding feature like wordpress, etc. But it never paid that well.So, Simon why did you stay with the company where you're working now as an email developer? To be frank, they pay really well, I highlighted among my coworkers, I was always early and always there (don't take me wrong I never worked past 8 or 9 hours, only when it's needed and that's been only a few times not that many)... So keep in mind, the salary.I used to work with laravel and wordpress (back in 2020) but I feel so out of game now since I haven't developed a website bymyself from scratch in a long time.What can I do or can I learn to boost my career?",Simon,2025-05-25 16:22:44+00:00
1,9,What's wrong with this code?,I think that this code is right.What should I do?,Miszkas_sm,2025-05-24 16:23:06+00:00
1,10,what learning platform is better?,guys what platform do you recommend for taking courses? I'm taking the front end web developer by IBM on Coursera but i heard that Udemy is better freecodecamp-content,griffith,2025-04-28 05:17:34+00:00
1,14,List Item parent is null,I am working on a project where I need to get count/length of the list items. li is child of ul but when I ask for parentElement I get null. I did console.dir for the item but it doesn't have any value which says ULFollowing is the line of codefunction deleteEntry(e){    if(e.target.tagName === 'I'){       e.target.parentElement.parentElement.remove()       remainingItems.innerHTML = `${e.target.parentElement.parentElement.children.length} items left`    }    console.dir(e.target.parentElement.parentElement)    removeFromLS()}Why is the parentElement empty if I go open step up,localhost,2025-05-12 10:37:25+00:00
1,15,Flight Search Application,"Hello everyone. I'm currently working on a Flight Search Application for school and having a few issues with the API connecting to my application and running tests to ensure the registration of usernames and passwords or collected and verified within the XML file. The application currently runs on Spring Boot in VS code. Below is the link to my Github repository and the two issues listed. Any help is appreciated. If you are familiary with APIs, I can also provide that information. Thank You!-Chris https://github.com/devpro012888/flightsearchapplication",Christopher White,2025-05-10 00:28:20+00:00
1,19,Header collapsing while it has a element within it.,"Following is my link to the app I am buildinghttps://vanila-js-to-do-app.netlify.app/how to runadd a item in the input field, hit enterthe entered item will now be in a listRepeating the same processhttps://github.com/mahassan/todo-appThe issue is the header tag is collapsing. It would be fine if I did not have any text in it but I have got h1 which should made things after that element yet the element is acting like it is hidden and there is some position going on.",localhost,2025-05-09 10:41:02+00:00
1,20,Hamburger Animation Not Running Properly (Please see GitHub Link to code),"Could suggest where I can get help to figure out what is wrong with my html css (hamburger menu). Being able to integrate the animations with JS have been perplexing. Did several tutorial videos, even built my own isolated examples, but still hard to pinpoint issue on my main website page that I am designing. GitHub to link to code is attached. Thanks in advance!Note: Files to examine in the src folder are Interp_Page.html / Interp_Page.css / engine.js https://github.com/MicheleDS79/Intpereter-Page/tree/master/src",Mike,2025-05-07 00:26:41+00:00
