author,questions_posted,first_question,answers_posted,first_answer,join_date,total_posts,is_bot
!,5,2023-04-07 12:19:03+00:00,1,2024-01-26 11:27:38+00:00,2023-04-07 12:19:03+00:00,6,False
0xJoyBoy03,1,2023-08-17 22:16:17+00:00,0,,2023-08-17 22:16:17+00:00,1,False
3huruf4,2,2024-09-05 13:33:12+00:00,6,2024-09-05 13:51:06+00:00,2024-09-05 13:33:12+00:00,8,False
7@CT1C@lC0D3R,2,2023-10-24 13:22:37+00:00,1,2023-10-24 13:53:49+00:00,2023-10-24 13:22:37+00:00,3,False
?mghty,0,,1,2023-08-19 13:48:28+00:00,2023-08-19 13:48:28+00:00,1,False
@!,0,,11,2023-04-07 12:45:50+00:00,2023-04-07 12:45:50+00:00,11,False
@3huruf4,0,,4,2024-09-05 14:05:00+00:00,2024-09-05 14:05:00+00:00,4,False
@AJ Goh,0,,1,2023-07-18 11:36:22+00:00,2023-07-18 11:36:22+00:00,1,False
@A_82166,0,,1,2024-06-27 17:35:59+00:00,2024-06-27 17:35:59+00:00,1,False
@Aaqib Javaid,0,,3,2024-03-16 11:50:07+00:00,2024-03-16 11:50:07+00:00,3,False
@Abigail,0,,2,2023-10-18 17:57:38+00:00,2023-10-18 17:57:38+00:00,2,False
@Absolute,0,,1,2023-03-04 23:09:46+00:00,2023-03-04 23:09:46+00:00,1,False
@Aditya,0,,1,2024-05-02 04:15:01+00:00,2024-05-02 04:15:01+00:00,1,False
@Aditya Kirad,0,,9,2023-03-24 13:18:51+00:00,2023-03-24 13:18:51+00:00,9,False
@Aditya ✔,0,,2,2024-01-13 06:38:02+00:00,2024-01-13 06:38:02+00:00,2,False
@AfsarHussain|India,0,,4,2025-01-20 14:45:03+00:00,2025-01-20 14:45:03+00:00,4,False
@Aissa,0,,2,2023-12-20 13:17:59+00:00,2023-12-20 13:17:59+00:00,2,False
@Akansha 🌸,0,,1,2024-01-12 18:09:26+00:00,2024-01-12 18:09:26+00:00,1,False
@Akhlaq Mehar,0,,3,2024-07-26 07:52:37+00:00,2024-07-26 07:52:37+00:00,3,False
@AkumaRift,0,,1,2024-01-28 14:35:09+00:00,2024-01-28 14:35:09+00:00,1,False
@Aldhan - アルダさん,0,,1,2023-04-21 03:09:14+00:00,2023-04-21 03:09:14+00:00,1,False
@AlexEveryGuy,0,,6,2024-08-31 06:47:18+00:00,2024-08-31 06:47:18+00:00,6,False
@Alexander Alzate,0,,3,2024-01-22 11:59:24+00:00,2024-01-22 11:59:24+00:00,3,False
@Alone,0,,3,2024-12-29 17:27:52+00:00,2024-12-29 17:27:52+00:00,3,False
@Alpox,0,,11,2023-01-03 00:51:54+00:00,2023-01-03 00:51:54+00:00,11,False
@Alucard Belmont,0,,3,2023-01-08 20:45:21+00:00,2023-01-08 20:45:21+00:00,3,False
@Amo,0,,1,2023-09-17 09:13:48+00:00,2023-09-17 09:13:48+00:00,1,False
@André,0,,1,2024-01-09 20:15:32+00:00,2024-01-09 20:15:32+00:00,1,False
@Ankit Rastogi,0,,1,2024-01-16 17:35:28+00:00,2024-01-16 17:35:28+00:00,1,False
@Annup,0,,4,2023-07-22 19:19:45+00:00,2023-07-22 19:19:45+00:00,4,False
@Anurag Gupta,0,,5,2024-01-20 14:07:26+00:00,2024-01-20 14:07:26+00:00,5,False
@Asje2005#55,0,,19,2023-08-24 18:02:25+00:00,2023-08-24 18:02:25+00:00,19,False
@Average_Joe,0,,5,2024-04-15 03:48:45+00:00,2024-04-15 03:48:45+00:00,5,False
@Aytac,0,,3,2024-04-30 20:50:33+00:00,2024-04-30 20:50:33+00:00,3,False
@Be Claire,0,,3,2023-10-13 18:21:07+00:00,2023-10-13 18:21:07+00:00,3,False
@Benedict Baah,0,,2,2022-11-09 12:17:46+00:00,2022-11-09 12:17:46+00:00,2,False
@Bilalexander 'The Great',0,,2,2023-01-11 11:12:05+00:00,2023-01-11 11:12:05+00:00,2,False
@Blake_xiaohui,0,,2,2025-03-14 12:11:44+00:00,2025-03-14 12:11:44+00:00,2,False
@Blu,0,,1,2024-04-18 18:27:25+00:00,2024-04-18 18:27:25+00:00,1,False
@Bourinio,0,,4,2023-11-06 13:29:43+00:00,2023-11-06 13:29:43+00:00,4,False
@Brian,0,,3,2023-08-27 12:41:23+00:00,2023-08-27 12:41:23+00:00,3,False
@Bubble Goose,0,,1,2024-03-30 21:30:05+00:00,2024-03-30 21:30:05+00:00,1,False
@Bukki,0,,3,2024-06-06 01:27:12+00:00,2024-06-06 01:27:12+00:00,3,False
@CamperChan,0,,22,2023-01-28 12:52:05+00:00,2023-01-28 12:52:05+00:00,22,False
@CapslockHero,0,,9,2024-04-20 21:06:21+00:00,2024-04-20 21:06:21+00:00,9,False
@Carlos,0,,2,2024-11-21 02:22:42+00:00,2024-11-21 02:22:42+00:00,2,False
@Chanchan Man,0,,1,2023-02-07 05:38:39+00:00,2023-02-07 05:38:39+00:00,1,False
@Chanzy,0,,3,2024-12-24 13:58:54+00:00,2024-12-24 13:58:54+00:00,3,False
@Charlieeee,0,,2,2024-07-11 00:10:02+00:00,2024-07-11 00:10:02+00:00,2,False
@Choo♚𝕂𝕚𝕟𝕘,0,,1,2023-09-16 01:18:06+00:00,2023-09-16 01:18:06+00:00,1,False
@Chrisred83,0,,1,2024-07-17 06:45:45+00:00,2024-07-17 06:45:45+00:00,1,False
@CitizenOfAsgard,0,,2,2022-11-16 20:50:14+00:00,2022-11-16 20:50:14+00:00,2,False
@CodingPanda,0,,2,2024-11-07 05:12:26+00:00,2024-11-07 05:12:26+00:00,2,False
@CurryFury,0,,11,2023-10-01 16:39:09+00:00,2023-10-01 16:39:09+00:00,11,False
@Cyber_sifg,0,,4,2024-04-20 21:10:32+00:00,2024-04-20 21:10:32+00:00,4,False
@Czarindafreeza#069,0,,1,2023-01-22 22:38:56+00:00,2023-01-22 22:38:56+00:00,1,False
@DASHER,0,,5,2024-07-31 13:37:36+00:00,2024-07-31 13:37:36+00:00,5,False
@DN Josh,0,,2,2024-04-13 23:01:30+00:00,2024-04-13 23:01:30+00:00,2,False
@Dafoe,0,,2,2023-09-14 20:26:07+00:00,2023-09-14 20:26:07+00:00,2,False
@Daksh Singh Rathore,0,,4,2023-06-17 15:45:02+00:00,2023-06-17 15:45:02+00:00,4,False
@DamiRae,0,,7,2023-10-08 14:12:25+00:00,2023-10-08 14:12:25+00:00,7,False
@DanCouper,0,,3,2023-03-29 17:33:18+00:00,2023-03-29 17:33:18+00:00,3,False
@Daniel,0,,3,2023-03-18 14:10:04+00:00,2023-03-18 14:10:04+00:00,3,False
@Danny,0,,4,2024-12-18 13:48:05+00:00,2024-12-18 13:48:05+00:00,4,False
@DannyB1611,0,,13,2025-01-18 21:40:11+00:00,2025-01-18 21:40:11+00:00,13,False
@DarkKnight1882,0,,6,2025-03-12 11:46:16+00:00,2025-03-12 11:46:16+00:00,6,False
@Dasta[coding ? online : offline],0,,3,2023-08-23 12:46:54+00:00,2023-08-23 12:46:54+00:00,3,False
@Dee,0,,6,2023-07-09 14:53:55+00:00,2023-07-09 14:53:55+00:00,6,False
@Deleted User,0,,15,2022-10-12 05:07:18+00:00,2022-10-12 05:07:18+00:00,15,False
@Dhiras,0,,12,2023-11-22 12:03:02+00:00,2023-11-22 12:03:02+00:00,12,False
@Dimanche,0,,4,2023-09-13 13:15:57+00:00,2023-09-13 13:15:57+00:00,4,False
@Divya075,0,,3,2023-08-06 13:09:59+00:00,2023-08-06 13:09:59+00:00,3,False
@DoggyTrader,0,,2,2024-01-25 16:48:41+00:00,2024-01-25 16:48:41+00:00,2,False
@Dorara,0,,2,2023-04-02 20:27:01+00:00,2023-04-02 20:27:01+00:00,2,False
@Dotty,0,,5,2023-10-13 06:02:07+00:00,2023-10-13 06:02:07+00:00,5,False
@DreamWalker,0,,66,2024-10-13 00:48:34+00:00,2024-10-13 00:48:34+00:00,66,False
@Drew90,0,,2,2024-03-04 15:02:33+00:00,2024-03-04 15:02:33+00:00,2,False
@Drujehong,0,,6,2022-12-15 05:45:09+00:00,2022-12-15 05:45:09+00:00,6,False
@Dtrizzle,0,,7,2024-12-25 09:45:33+00:00,2024-12-25 09:45:33+00:00,7,False
@Ella,0,,1,2024-11-15 00:41:28+00:00,2024-11-15 00:41:28+00:00,1,False
@Elmiko,0,,3,2023-07-15 18:50:27+00:00,2023-07-15 18:50:27+00:00,3,False
@Esau erecto,0,,1,2025-05-23 17:21:10+00:00,2025-05-23 17:21:10+00:00,1,False
@Ethan Marnewick,0,,1,2023-01-29 09:46:49+00:00,2023-01-29 09:46:49+00:00,1,False
@FLUBBERJUICE,0,,2,2024-06-06 01:24:56+00:00,2024-06-06 01:24:56+00:00,2,False
@FPS_Scott,0,,4,2022-09-19 18:32:44+00:00,2022-09-19 18:32:44+00:00,4,False
@Filmmaker | Coder | Investor,0,,18,2024-01-19 13:17:30+00:00,2024-01-19 13:17:30+00:00,18,False
@FiredragonPlayz,0,,1,2025-03-31 09:28:40+00:00,2025-03-31 09:28:40+00:00,1,False
@ForzaFERR▲RI,0,,3,2023-04-30 04:35:15+00:00,2023-04-30 04:35:15+00:00,3,False
@GOLFBALLLL,0,,4,2023-11-11 01:35:17+00:00,2023-11-11 01:35:17+00:00,4,False
@GeorgeGFX,0,,1,2023-07-10 08:25:37+00:00,2023-07-10 08:25:37+00:00,1,False
@Gudako,0,,2,2023-08-28 14:44:03+00:00,2023-08-28 14:44:03+00:00,2,False
@Guga Cavalieri,0,,2,2024-07-26 15:33:13+00:00,2024-07-26 15:33:13+00:00,2,False
@Gwoz,0,,2,2024-02-08 03:39:33+00:00,2024-02-08 03:39:33+00:00,2,False
@HOlllOW,0,,1,2023-02-22 23:27:08+00:00,2023-02-22 23:27:08+00:00,1,False
@Hacker4world,0,,2,2024-06-02 20:04:46+00:00,2024-06-02 20:04:46+00:00,2,False
@Hadi H.,0,,1,2024-06-02 22:03:11+00:00,2024-06-02 22:03:11+00:00,1,False
@Hatty,0,,2,2024-12-13 01:08:38+00:00,2024-12-13 01:08:38+00:00,2,False
@Hazza,0,,6,2023-03-16 22:40:03+00:00,2023-03-16 22:40:03+00:00,6,False
@HelloKittyAlien,0,,1,2022-10-22 17:38:45+00:00,2022-10-22 17:38:45+00:00,1,False
@HemanthTG,0,,2,2025-03-21 16:06:50+00:00,2025-03-21 16:06:50+00:00,2,False
@HizbullahM,0,,8,2023-12-23 17:42:45+00:00,2023-12-23 17:42:45+00:00,8,False
@I M Ghareeb,0,,3,2024-01-11 02:38:27+00:00,2024-01-11 02:38:27+00:00,3,False
